0	doc_label,doc_content	0.20977553848966182	0.34134473831195133	0.1530313187309002	0.2958484044674868
1	Coal-1,article	0.5774138573116244	0.24308057664751836	0.11184284609614739	0.06766271994470985
2	Coal-10,engaging	0.018400106995243685	0.07373973881698127	0.03277451409198898	0.8750856400957863
3	Coal-11,bangladesh	0.36113892014547755	0.0017888831872512477	0.5267410416784757	0.11033115498879553
4	Coal-2,article	0.029283405125345375	0.9487320770398553	0.014027011673520266	0.007957506161279139
5	Coal-3,coal	0.8011055069354251	0.0691326882193959	0.08850728186939577	0.04125452297578326
6	Coal-4,paper	0.08379996486522027	0.05213914287665472	0.8530848713510024	0.010976020907122592
7	Coal-5,greenhouse	0.03705903090766901	0.8434498975304142	0.11837564594951545	0.0011154256124013835
8	Coal-6,young	0.014757965117084618	0.051695268285260915	0.9326376303926496	9.091362050049237E-4
9	Coal-7,energy	0.15828659162188352	0.002125598701828331	0.0038363309038372644	0.8357514787724508
10	Coal-8,energy	0.9343997601720141	0.008779377520450816	0.026005408068798086	0.03081545423873687
11	Coal-9,natural	0.9162549386391774	0.03750684315939097	0.030251656048732777	0.015986562152698905
